('http://movie.mtime.com/17926/', '功夫')
('http://movie.mtime.com/12469/', '英雄')
('http://movie.mtime.com/12135/', '卧虎藏龙')
('http://movie.mtime.com/19335/', '无极')
('http://movie.mtime.com/46029/', '集结号')
('http://movie.mtime.com/45303/', '疯狂的石头')
('http://movie.mtime.com/10508/', '东邪西毒')
('http://movie.mtime.com/10424/', '大腕')
('http://movie.mtime.com/10841/', '花样年华')
('http://movie.mtime.com/17683/', '独自等待')
('http://movie.mtime.com/47843/', '大电影')
('http://movie.mtime.com/184034/', '小时代')
('http://movie.mtime.com/106313/', '让子弹飞')
('http://movie.mtime.com/45607/', '太阳照常升起')
('http://movie.mtime.com/59588/', '画皮')
('http://movie.mtime.com/84647/', '非诚勿扰')
('http://movie.mtime.com/46017/', '疯狂的赛车')
('http://movie.mtime.com/94735/', '赤壁（下）')
('http://movie.mtime.com/157905/', '变形金刚4：绝迹重生')
('http://movie.mtime.com/198132/', '小时代2：青木时代')
('http://movie.mtime.com/45505/', '三峡好人')
('http://movie.mtime.com/10190/', '霸王别姬')
('http://movie.mtime.com/208907/', '后会无期')
('http://movie.mtime.com/203641/', '小时代3：刺金时代')
('http://movie.mtime.com/45559/', '南京！南京！')
('http://movie.mtime.com/114616/', '全城热恋')
('http://movie.mtime.com/92090/', '风声')
('http://movie.mtime.com/139699/', '天机·富春山居图')
('http://movie.mtime.com/104455/', '锦衣卫')
('http://movie.mtime.com/164046/', '人再囧途之泰囧')
('http://movie.mtime.com/138762/', '西游降魔篇')
('http://movie.mtime.com/209164/', '西游记之大圣归来')
('http://movie.mtime.com/80074/', '叶问')
('http://movie.mtime.com/223081/', '爵迹')
('http://movie.mtime.com/118999/', '金陵十三钗')
('http://movie.mtime.com/203642/', '小时代4：灵魂尽头')
('http://movie.mtime.com/24709/', '赤壁（上）')
('http://movie.mtime.com/208076/', '港囧')
('http://movie.mtime.com/126817/', '西游记之大闹天宫')
('http://movie.mtime.com/157125/', '致我们终将逝去的青春')
('http://movie.mtime.com/206162/', '心花路放')
('http://movie.mtime.com/208766/', '老男孩猛龙过江')
('http://movie.mtime.com/93243/', '窃听风云')
('http://movie.mtime.com/217296/', '栀子花开')
('http://movie.mtime.com/98991/', '十月围城')
('http://movie.mtime.com/174760/', '中国合伙人')
('http://movie.mtime.com/44693/', '满城尽带黄金甲')
('http://movie.mtime.com/89952/', '魔兽')
('http://movie.mtime.com/12176/', '大话西游之月光宝盒')
('http://movie.mtime.com/208325/', '西游伏妖篇')
('http://movie.mtime.com/91881/', '钢铁侠3')
('http://movie.mtime.com/104453/', '杜拉拉升职记')
('http://movie.mtime.com/98975/', '建国大业')
('http://movie.mtime.com/104696/', '叶问2：宗师传奇')
('http://movie.mtime.com/225740/', '天亮之前')
('http://movie.mtime.com/164689/', '私人订制')
('http://movie.mtime.com/123303/', '人在囧途')
('http://movie.mtime.com/110470/', '越光宝盒')
('http://movie.mtime.com/104896/', '一代宗师')
('http://movie.mtime.com/91347/', '非常完美')
('http://movie.mtime.com/168796/', '一步之遥')
('http://movie.mtime.com/99400/', '唐山大地震')
('http://movie.mtime.com/123965/', '非诚勿扰2')
('http://movie.mtime.com/52873/', '功夫之王')
('http://movie.mtime.com/163126/', '北京遇上西雅图')
('http://movie.mtime.com/129119/', '建党伟业')
('http://movie.mtime.com/209007/', '美人鱼')
('http://movie.mtime.com/84699/', '孔子')
('http://movie.mtime.com/131704/', '失恋33天')
('http://movie.mtime.com/218763/', '夏洛特烦恼')
('http://movie.mtime.com/194267/', '秦时明月之龙腾万里')
('http://movie.mtime.com/210728/', '天将雄师')
('http://movie.mtime.com/92479/', '夜·店')
('http://movie.mtime.com/93125/', '大兵小将')
('http://movie.mtime.com/218532/', '何以笙箫默')
('http://movie.mtime.com/47872/', '投名状')
('http://movie.mtime.com/229733/', '战狼2')
('http://movie.mtime.com/208913/', '钟馗伏魔：雪妖魔灵')
('http://movie.mtime.com/127800/', '龙门飞甲')
('http://movie.mtime.com/118998/', '山楂树之恋')
